Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,5755.28733,6901.270487,8529.335741,10069.99603,10968.49959,12035.5513,12508.66173,13211.97637,14351.25739,14476.11525,14557.60541,15636.28296,16895.32663,16911.38075,18246.3268,17925.42375,16915.30495,18164.81238,19508.51853,16248.68828,20642.61851,19490.10045,23288.43741,21405.35668,19831.32266,20055.18369,21093.23665,21960.63799,22980.21285,23868.33972,24041.90164,24369.29844,,,
Africa Eastern and Southern,AFE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,374.8638992,405.0055468,485.0207947,508.6032417,517.7845299,560.6331242,584.5535442,561.0146369,541.7850522,534.2224911,589.2019522,581.1442612,597.4161589,550.4623808,529.7093648,554.4863363,479.9538865,475.8452683,618.2655631,743.7785063,830.6713881,888.4701128,958.2546876,946.3918742,1025.567814,1165.505846,1274.150776,1301.381103,1295.361646,1316.13734,1245.351675,1142.887865,1240.548,1227.294702,1198.273518,
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,151.0562438,154.0628173,131.2046108,138.4825129,167.4592217,178.9920956,189.1238957,214.6242239,236.9257725,262.5666922,258.278378,251.4494932,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.4277854,511.8977707,557.0807375,605.2911953,602.6518121,580.8572036,553.2653858,489.1031733,501.8283842,473.3193708,490.2323142,
Africa Western and Central,AFW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,206.6831304,145.6581506,172.927426,203.7993579,258.4606034,308.2031007,373.391179,360.411841,383.5689699,398.5832405,520.0301037,1112.881767,978.4682921,692.2135496,543.2806829,527.6353839,488.7493869,474.6127695,474.6449577,396.0013246,444.8759269,446.664172,423.1176751,332.6548968,301.759282,358.4841837,385.2358516,387.0473859,400.981251,415.1040601,370.1542164,405.5863052,482.428419,535.7094963,625.1966117,726.1058887,944.8709213,1076.154843,1252.493429,1141.491416,1251.534086,1331.651655,1444.565616,1630.413013,1715.01368,1562.001513,1385.211953,1303.397746,1341.60733,1424.479968,
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,521.8052873,541.476552,458.7669101,433.7091824,636.0132367,541.837949,668.5755842,66.83796954,95.35127761,26.23567761,186.6541546,184.3222133,260.367973,269.475148,164.4919316,207.366817,265.4681061,559.032752,663.2984469,676.2380844,918.1081771,1245.073452,1377.582592,1288.338923,1755.075744,1742.400607,2285.740639,2733.049877,3053.728146,3470.102913,3119.03307,2633.77617,2866.864672,2000.546817,1700.318461,
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,464.9585275,461.9615913,552.2863374,518.1445617,503.9770222,529.0859702,475.2323784,250.9123392,139.1967101,317.205647,509.1504511,668.4797294,914.0362714,642.238708,748.6516346,948.273098,1039.491859,1192.471972,1311.949162,1703.468762,2169.416029,2436.983537,2738.064144,3230.768774,3834.4812,3515.178775,3498.342005,3733.5752,3508.380807,3765.181415,3850.053559,3272.394147,3448.324569,3722.954182,4326.330596,4319.487639,
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1281.419956,1395.791935,1398.334323,1294.26707,1256.682791,1213.946693,1184.130939,1188.228143,1168.753145,1153.189694,1583.074345,1522.421679,1648.834735,1615.579637,1586.145369,1672.244229,1791.056671,1874.40982,1832.131007,1897.74166,2018.760594,2002.56557,1994.567966,2152.120039,2444.873843,2821.900181,3312.373376,3843.07781,4645.852754,4091.544422,4626.368996,5243.437992,5755.909627,5888.120585,5929.568985,5293.105604,5133.770812,5057.364876,5334.416279,5378.721447,
United Arab Emirates,ARE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30445.45292,29044.06231,28202.04398,29583.6813,32194.6022,33305.42356,35914.24393,36678.34704,37374.32645,27384.92344,30498.58073,34547.21924,36052.8741,37911.62388,39308.2921,35646.09956,35478.30805,37734.43416,40019.94277,39305.77963,
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1194.732639,1301.242892,1294.891991,1965.73124,2641.060411,1889.561016,1782.302079,1941.483327,1945.13187,2226.343929,2407.819281,2394.394627,2472.148038,3025.466119,2266.426409,2489.048686,3174.451428,3104.735119,3485.877466,1924.15154,3690.905329,5033.704131,6069.199321,6190.06043,6582.195625,6397.549764,6698.71984,7079.595435,7119.68954,6555.857637,6437.668973,5996.252778,1983.413205,2678.726918,3172.483828,3776.754589,4869.511941,6098.404683,7565.009623,6834.655816,8614.989878,10687.8064,10827.73081,10836.29317,10212.7923,11677.28869,10803.64227,12497.73051,9676.811107,8160.572029,
